date_sampled,address,1st_draw,2nd_draw,3rd_draw,4th_draw,5th_draw,6th_draw,7th_draw,8th_draw,9th_draw,10th_draw,year,month,1st_5th_highest,highest_sample
2016-02-28,27XX N Wilton Ave**,22.3,25.7,29.8,33.5,38.0,39.9,38.3,35.2,31.3,26.2,2016,2,38.0,39.9
2016-03-04,54XX S Harper Ave**,13.7,21.0,22.8,19.3,14.5,10.7,9.33,7.44,6.66,5.79,2016,3,14.5,22.8
2016-03-04,81XX S Euclid Ave,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,3,1.18,1.18
2016-03-16,11XX W George St,8.01,8.5,10.8,9.0,9.42,10.3,10.5,9.28,6.19,5.1,2016,3,9.42,10.8
2016-03-16,93XX S Bennett Ave,4.8,4.41,7.92,9.22,9.84,10.6,11.8,11.9,10.9,10.1,2016,3,9.84,11.9
2016-03-25,3XX W 100th Pl**,4.54,3.19,2.58,2.97,3.06,5.38,4.74,5.0,6.04,7.62,2016,3,4.54,7.62
2016-03-25,92XX S Dauphin Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,3,0.0,0.0
2016-03-26,11XX W Lunt Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,3,0.0,0.0
2016-03-26,62XX S Kedzie Ave,5.89,3.24,1.59,1.39,0.0,0.0,0.0,0.0,0.0,0.0,2016,3,5.89,5.89
2016-03-26,78XX S Jeffery Blvd,1.41,1.15,1.32,0.0,1.05,1.14,1.04,1.62,0.0,0.0,2016,3,1.41,1.62
2016-04-14,21XX W Belle Plaine Ave,12.5,15.1,33.3,57.5,27.4,19.1,10.6,13.4,11.4,5.98,2016,4,27.4,57.5
2016-04-15,25XX N St Louis Ave,9.03,10.0,12.6,10.8,8.98,7.5,6.09,5.12,4.7,3.1,2016,4,9.03,12.6
2016-04-16,96XX S Damen Ave,2.38,6.26,3.77,3.67,3.5,3.68,5.86,8.63,9.41,9.42,2016,4,3.5,9.42
2016-04-27,59XX N Kilpatrick Ave,1.23,1.58,1.45,3.67,6.36,7.72,8.03,9.45,12.2,25.4,2016,4,6.36,25.4
2016-04-30,18XX W Cuyler Ave,1.01,3.63,6.78,6.8,3.68,4.52,4.52,4.64,5.33,4.06,2016,4,3.68,6.8
2016-04-30,80XX S Constance Ave,58.0,19.1,14.8,21.2,14.1,14.0,16.8,17.6,11.7,22.8,2016,4,58.0,58.0
2016-05-12,3XX W 100th Pl**,3.66,4.71,4.34,4.26,5.75,5.78,8.67,14.8,16.8,,2016,5,5.75,16.8
2016-05-13,54XX S Harper Ave**,19.8,29.3,30.8,27.3,16.2,13.1,10.6,12.1,11.2,9.43,2016,5,19.8,30.8
2016-05-14,99XX S Perry Ave,1.66,2.43,2.4,2.46,2.34,2.61,2.9,2.8,2.64,2.4,2016,5,2.34,2.9
2016-05-16,36XX W 115th St,2.09,2.11,2.12,2.23,2.24,2.26,2.25,2.06,1.87,1.82,2016,5,2.24,2.26
2016-05-26,95XX S Prospect Ave,4.68,6.35,11.3,21.5,16.5,36.7,25.6,33.4,15.7,26.6,2016,5,16.5,36.7
2016-06-10,50XX S Washtenaw Ave,23.8,13.2,9.86,4.95,5.78,5.06,4.64,4.15,4.65,3.57,2016,6,23.8,23.8
2016-06-13,90XX S Dr Martin Luther King Jr Dr,6.61,9.09,8.78,8.41,8.36,6.44,14.0,6.78,3.52,4.84,2016,6,8.36,14.0
